timestamp_utc,latency_ms,success
2026-08-04T03:41:08.000Z,56.234,true
2026-08-04T03:41:08.000Z,47.326,true
2026-08-04T03:41:08.000Z,59.130,true
2026-08-04T03:41:08.000Z,43.731,true
2026-08-04T03:41:08.000Z,44.064,true
2026-08-04T03:41:08.000Z,43.538,true
2026-08-04T03:41:08.000Z,42.999,true
2026-08-04T03:41:08.000Z,42.971,true
2026-08-04T03:41:08.000Z,42.461,true
2026-08-04T03:41:08.000Z,42.349,true
2026-08-04T03:41:08.000Z,42.598,true
2026-08-04T03:41:08.000Z,42.770,true
2026-08-04T03:41:08.000Z,42.486,true
2026-08-04T03:41:08.000Z,42.567,true
2026-08-04T03:41:08.000Z,43.064,true
2026-08-04T03:41:08.000Z,42.707,true
2026-08-04T03:41:08.000Z,42.444,true
2026-08-04T03:41:08.000Z,42.350,true
2026-08-04T03:41:08.000Z,42.299,true
2026-08-04T03:41:08.000Z,42.453,true
2026-08-04T03:41:08.000Z,43.101,true
2026-08-04T03:41:08.000Z,44.171,true
2026-08-04T03:41:08.000Z,43.583,true
2026-08-04T03:41:08.000Z,42.584,true
2026-08-04T03:41:08.000Z,42.198,true
2026-08-04T03:41:08.000Z,42.307,true
2026-08-04T03:41:08.000Z,41.999,true
2026-08-04T03:41:08.000Z,42.269,true
2026-08-04T03:41:08.000Z,42.023,true
2026-08-04T03:41:08.000Z,42.060,true
2026-08-04T03:41:08.000Z,42.467,true
2026-08-04T03:41:08.000Z,42.412,true
2026-08-04T03:41:08.000Z,42.611,true
2026-08-04T03:41:08.000Z,42.475,true
2026-08-04T03:41:08.000Z,42.351,true
2026-08-04T03:41:08.000Z,42.603,true
2026-08-04T03:41:08.000Z,42.159,true
2026-08-04T03:41:08.000Z,41.897,true
2026-08-04T03:41:08.000Z,42.425,true
2026-08-04T03:41:08.000Z,42.296,true
2026-08-04T03:41:08.000Z,42.375,true
2026-08-04T03:41:08.000Z,42.432,true
2026-08-04T03:41:08.000Z,42.326,true
2026-08-04T03:41:08.000Z,42.259,true
2026-08-04T03:41:08.000Z,43.249,true
2026-08-04T03:41:08.000Z,43.054,true
2026-08-04T03:41:08.000Z,42.658,true
2026-08-04T03:41:08.000Z,43.005,true
2026-08-04T03:41:08.000Z,42.677,true
2026-08-04T03:41:08.000Z,42.781,true
2026-08-04T03:41:08.000Z,42.287,true
2026-08-04T03:41:08.000Z,42.353,true
2026-08-04T03:41:08.000Z,42.152,true
2026-08-04T03:41:08.000Z,42.507,true
2026-08-04T03:41:08.000Z,42.268,true
2026-08-04T03:41:08.000Z,42.280,true
2026-08-04T03:41:08.000Z,42.562,true
2026-08-04T03:41:08.000Z,42.361,true
2026-08-04T03:41:08.000Z,42.469,true
2026-08-04T03:41:08.000Z,42.421,true
2026-08-04T03:41:08.000Z,42.503,true
2026-08-04T03:41:08.000Z,42.232,true
2026-08-04T03:41:08.000Z,42.395,true
2026-08-04T03:41:08.000Z,42.304,true
2026-08-04T03:41:08.000Z,42.413,true
2026-08-04T03:41:08.000Z,45.154,true
2026-08-04T03:41:08.000Z,53.087,true
2026-08-04T03:41:08.000Z,45.449,true
2026-08-04T03:41:08.000Z,42.877,true
2026-08-04T03:41:08.000Z,55.242,true
2026-08-04T03:41:08.000Z,42.449,true
2026-08-04T03:41:08.000Z,42.196,true
2026-08-04T03:41:08.000Z,43.714,true
2026-08-04T03:41:08.000Z,42.008,true
2026-08-04T03:41:08.000Z,41.890,true
2026-08-04T03:41:08.000Z,42.140,true
2026-08-04T03:41:08.000Z,42.115,true
2026-08-04T03:41:08.000Z,42.101,true
